sep=,
Filename,Version,FileVersion,InfoVersion
AjaxMin.dll,5.14.5506.26196,5.14.5506.26196,5.14.5506.26196
LinqToTwitter.AspNet.dll,3.2.0,3.2.0.0,3.2.0
LinqToTwitter.net.dll,4.0.0.0,4.0.0.0,4.0.0.0
Lucene.Net.Contrib.Spatial.dll,3.0.3,3.0.3.0,3.0.3
Sitecore.LayoutService.dll,3.0.0.00052,3.0.0.0,3.0.0-r00052-af6a409
Sitecore.LayoutService.Mvc.dll,3.0.0.00052,3.0.0.0,3.0.0-r00052-af6a409
Sitecore.XA.Feature.Analytics.dll,2.6.0.1151,2.6.0.1151,2.6.0.1151
Sitecore.XA.Feature.Compliancy.dll,2.6.0.1151,2.6.0.0,2.6.0 rev. 20180103
Sitecore.XA.Feature.Composites.dll,2.6.0.1151,2.6.0.0,2.6.0 rev. 20180103
Sitecore.XA.Feature.ContentTokens.dll,2.6.0.1151,2.6.0.0,2.6.0 rev. 20180103
Sitecore.XA.Feature.Context.dll,2.6.0.1151,2.6.0.0,2.6.0 rev. 20180103
Sitecore.XA.Feature.CreativeExchange.dll,2.6.0.1151,2.6.0.0,2.6.0 rev. 20180103
Sitecore.XA.Feature.DeviceResolver.dll,2.6.0.1151,2.6.0.0,2.6.0 rev. 20180103
Sitecore.XA.Feature.Engagement.dll,2.6.0.1151,2.6.0.0,2.6.0 rev. 20180103
Sitecore.XA.Feature.ErrorHandling.dll,2.6.0.1151,2.6.0.0,2.6.0 rev. 20180103
Sitecore.XA.Feature.Events.dll,2.6.0.1151,2.6.0.0,2.6.0 rev. 20180103
Sitecore.XA.Feature.Forms.dll,2.6.0.1151,2.6.0.0,2.6.0 rev. 20180103
Sitecore.XA.Feature.Json.dll,2.6.0.1151,2.6.0.0,2.6.0 rev. 20180103
Sitecore.XA.Feature.LayoutServices.Integration.dll,2.6.0.1151,2.6.0.0,2.6.0 rev. 20180103
Sitecore.XA.Feature.Maps.dll,2.6.0.1151,2.6.0.0,2.6.0 rev. 20180103
Sitecore.XA.Feature.Media.dll,2.6.0.1151,2.6.0.0,2.6.0 rev. 20180103
