sep=,
Filename,Version,FileVersion,InfoVersion
AjaxMin.dll,5.14.5506.26196,5.14.5506.26196,5.14.5506.26196
LinqToTwitter.AspNet.dll,3.2.0,3.2.0.0,3.2.0
LinqToTwitter.net.dll,4.0.0.0,4.0.0.0,4.0.0.0
Lucene.Net.Contrib.Spatial.dll,3.0.3,3.0.3.0,3.0.3
Sitecore.LayoutService.dll,4.0.1.00077,4.0.1.0,4.0.1-r00077-0c82e52f5c6c4680da0e7738141642bb6526bce4
Sitecore.LayoutService.Mvc.dll,4.0.1.00077,4.0.1.0,4.0.1-r00077-0c82e52f5c6c4680da0e7738141642bb6526bce4
Sitecore.XA.Feature.Accessibility.dll,3.8.0.1161,3.8.0.0,3.8.0-r01161
Sitecore.XA.Feature.Analytics.dll,3.8.0.1161,3.8.0.0,3.8.0-r01161
Sitecore.XA.Feature.Compliancy.dll,3.8.0.1161,3.8.0.0,3.8.0-r01161
Sitecore.XA.Feature.Composites.dll,3.8.0.1161,3.8.0.0,3.8.0-r01161
Sitecore.XA.Feature.ContentTokens.dll,3.8.0.1161,3.8.0.0,3.8.0-r01161
Sitecore.XA.Feature.Context.dll,3.8.0.1161,3.8.0.0,3.8.0-r01161
Sitecore.XA.Feature.CreativeExchange.dll,3.8.0.1161,3.8.0.0,3.8.0-r01161
Sitecore.XA.Feature.DeviceResolver.dll,3.8.0.1161,3.8.0.0,3.8.0-r01161
Sitecore.XA.Feature.Engagement.dll,3.8.0.1161,3.8.0.0,3.8.0-r01161
Sitecore.XA.Feature.ErrorHandling.dll,3.8.0.1161,3.8.0.0,3.8.0-r01161
Sitecore.XA.Feature.Events.dll,3.8.0.1161,3.8.0.0,3.8.0-r01161
Sitecore.XA.Feature.Forms.dll,3.8.0.1161,3.8.0.0,3.8.0-r01161
Sitecore.XA.Feature.GenericMetaRendering.dll,3.8.0.1161,3.8.0.0,3.8.0-r01161
Sitecore.XA.Feature.Json.dll,3.8.0.1161,3.8.0.0,3.8.0-r01161
Sitecore.XA.Feature.LayoutServices.Integration.dll,3.8.0.1161,3.8.0.0,3.8.0-r01161
