sep=,
Filename,Version,FileVersion,InfoVersion
Sitecore.XA.Foundation.SitecoreExtensions.dll,5.9.0.0,5.9.0.0,5.9.0-r01943
Sitecore.XA.Foundation.Taxonomy.dll,5.9.0.0,5.9.0.0,5.9.0-r01943
Sitecore.XA.Foundation.Theming.dll,5.9.0.0,5.9.0.0,5.9.0-r01943
Sitecore.XA.Foundation.TokenResolution.dll,5.9.0.0,5.9.0.0,5.9.0-r01943
Sitecore.XA.Foundation.Upgrade.dll,5.9.0.0,5.9.0.0,5.9.0-r01943
Sitecore.XA.Foundation.Variants.Abstractions.dll,5.9.0.0,5.9.0.0,5.9.0-r01943
Sitecore.XA.Foundation.XConnect.Integration.dll,5.9.0.0,5.9.0.0,5.9.0-r01943
Sitecore.XA.JSS.Foundation.Integration.dll,5.9.0.0,5.9.0.0,5.9.0-r01943
Sitecore.XA.JSS.Foundation.LocalDatasources.dll,5.9.0.0,5.9.0.0,5.9.0-r01943
Sitecore.XA.JSS.Foundation.Multisite.dll,5.9.0.0,5.9.0.0,5.9.0-r01943
Sitecore.XA.JSS.Foundation.Presentation.dll,5.9.0.0,5.9.0.0,5.9.0-r01943
Sitecore.XA.JSS.Foundation.Scaffolding.dll,5.9.0.0,5.9.0.0,5.9.0-r01943
Spatial4n.Core.dll,0.3.0.0,0.3.0.0,0.3.0.0

